instance,customer_num,routes_used_number,distance_all,execution_time,random_seed
R101,97,21,1633.39,108.738123,
R101,25,8,618.33,14.978123,
R101,25,8,618.33,14.83123,
R101,25,8,618.33,15.647123,
R101,25,8,618.33,10.571123,
R101,97,22,1680.15,110.235123,
R101,50,12,1052,36.124123,
R101,25,8,618.33,14.963123,
R102,100,19,1548.64,100.758123,
R102,50,11,951.402,29.803123,
R102,25,7,556.864,14.099123,
R103,100,16,1310.77,142.819123,
R103,50,9,800.264,41.642123,
R103,25,6,459.676,13.459123,
R104,100,13,1065.21,176.004123,
R104,50,7,653.707,52.602123,
R104,25,4,406.264,15.498123,
R105,100,15,1378.32,81.016123,
R105,50,10,921.602,28.002123,
R105,25,6,524.96,11.335123,
R106,100,15,1315.85,101.076123,
R106,50,8,811.054,30.523123,
R106,25,5,479.49,12.6123,
R107,100,14,1209.2,132.813123,
R107,50,8,762.841,41.196123,
R107,25,5,440.743,13.682123,
R108,100,11,963.301,189.176123,
R108,50,6,621.242,62.533123,
R108,25,4,397.628,16.15123,
R109,100,13,1180.25,87.192123,
R109,50,8,811.291,29.383123,
R109,25,5,442.625,11.632123,
R110,100,13,1134.04,88.887123,
R110,50,7,718.11,30.268123,
R110,25,5,438.448,11.618123,
R111,100,13,1120.34,90.861123,
R111,50,8,758.409,30.583123,
R111,25,5,440.743,11.388123,
R112,100,10,1010.47,88.551123,
R112,50,7,678.514,29.908123,
R112,25,4,395.091,11.235123,
R201,100,10,1230.23,84.855123,
R201,50,6,824.31,28.372123,
R201,25,4,450.658,11.147123,
R202,100,9,1223.79,96.868123,
R202,50,5,729.29,31.073123,
R202,25,4,416.145,11.516123,
R203,100,8,958.102,135.858123,
R203,50,5,641.702,38.663123,
R203,25,2,392.178,13.844123,
R204,100,6,800.61,198.3123,
R204,50,4,532.637,55.781123,
R204,25,3,342.845,15.132123,
R205,100,10,1070.43,85.147123,
R205,50,6,714.082,28.987123,
R205,25,3,409.575,11.18123,
R206,100,8,1036.53,99.628123,
R206,50,5,689.864,31.787123,
R206,25,2,391.89,11.773123,
R207,100,7,905.093,140.29123,
